127.0.0.1, 2015-05-02 17:13:31, GET, /, HTTP/1.1, 303, 0.000862
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/default/index, HTTP/1.1, 200, 1.946779
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001501
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000915
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001612
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002339
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.003616
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002136
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001891
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000699
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000676
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000624
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001368
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000457
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000470
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.000447
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001260
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000523
127.0.0.1, 2015-05-02 17:13:33, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001060
127.0.0.1, 2015-05-02 17:17:10, GET, /admin/default/site, HTTP/1.1, 303, 0.108415
127.0.0.1, 2015-05-02 17:17:10, GET, /admin/default/index, HTTP/1.1, 200, 0.037269
127.0.0.1, 2015-05-02 17:17:10, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 200, 0.001397
127.0.0.1, 2015-05-02 17:17:10, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 200, 0.002576
